96701,Aiea,Hawaii ,HONOLULU,15,003,HI 
96755,Kapaau,Hawaii ,HAWAII,15,001,HI 
96753,Kihei,Hawaii ,MAUI,15,009,HI 
96756,Koloa,Hawaii ,KAUAI,15,007,HI 
96757,Kualapuu,Hawaii ,MAUI,15,009,HI 
96760,Kurtistown,Hawaii ,HAWAII,15,001,HI 
96761,Lahaina,Hawaii ,MAUI,15,009,HI 
96763,Lanai City,Hawaii ,MAUI,15,009,HI 
96759,Kunia,Hawaii ,HONOLULU,15,003,HI 
96762,Laie,Hawaii ,HONOLULU,15,003,HI 
96765,Lawai,Hawaii ,KAUAI,15,007,HI 
96766,Lihue,Hawaii ,KAUAI,15,007,HI 
96767,Lahaina,Hawaii ,MAUI,15,009,HI 
96764,Laupahoehoe,Hawaii ,HAWAII,15,001,HI 
96770,Maunaloa,Hawaii ,MAUI,15,009,HI 
96772,Naalehu,Hawaii ,HAWAII,15,001,HI 
96768,Makawao,Hawaii ,MAUI,15,009,HI 
96773,Ninole,Hawaii ,HAWAII,15,001,HI 
96769,Makaweli,Hawaii ,KAUAI,15,007,HI 
96771,Mountain View,Hawaii ,HAWAII,15,001,HI 
96774,Ookala,Hawaii ,HAWAII,15,001,HI 
96776,Paauilo,Hawaii ,HAWAII,15,001,HI 
96777,Pahala,Hawaii ,HAWAII,15,001,HI 
96778,Pahoa,Hawaii ,HAWAII,15,001,HI 
96781,Papaikou,Hawaii ,HAWAII,15,001,HI 
96782,Pearl City,Hawaii ,HONOLULU,15,003,HI 
96779,Paia,Hawaii ,MAUI,15,009,HI 
96780,Papaaloa,Hawaii ,HAWAII,15,001,HI 
96783,Pepeekeo,Hawaii ,HAWAII,15,001,HI 
96784,Puunene,Hawaii ,MAUI,15,009,HI 
96785,Volcano,Hawaii ,HAWAII,15,001,HI 
96786,Wahiawa,Hawaii ,HONOLULU,15,003,HI 
96788,Pukalani,Hawaii ,MAUI,15,009,HI 
96790,Kula,Hawaii ,MAUI,15,009,HI 
96789,Mililani,Hawaii ,HONOLULU,15,003,HI 
96792,Waianae,Hawaii ,HONOLULU,15,003,HI 
96791,Waialua,Hawaii ,HONOLULU,15,003,HI 
96793,Wailuku,Hawaii ,MAUI,15,009,HI 
96795,Waimanalo,Hawaii ,HONOLULU,15,003,HI 
96796,Waimea,Hawaii ,KAUAI,15,007,HI 
96802,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96804,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96801,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96806,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96797,Waipahu,Hawaii ,HONOLULU,15,003,HI 
96805,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96807,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96808,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96809,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96812,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96810,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96811,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96815,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96814,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96813,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96816,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96817,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96818,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96820,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96821,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96824,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96823,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96822,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96819,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96825,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96830,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96837,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96836,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96839,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96828,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96826,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96838,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96840,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96848,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96843,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96841,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96849,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96846,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96844,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96847,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96850,Honolulu,Hawaii ,HONOLULU,15,003,HI 
96853,Jbphh,Hawaii ,HONOLULU,15,003,HI 
96854,Wheeler Army Airfield,Hawaii ,HONOLULU,15,003,HI 
96857,Schofield Barracks,Hawaii ,HONOLULU,15,003,HI 
96860,Jbphh,Hawaii ,HONOLULU,15,003,HI 
96863,Mcbh Kaneohe Bay,Hawaii ,HONOLULU,15,003,HI 
96858,Fort Shafter,Hawaii ,HONOLULU,15,003,HI 
96861,Camp H M Smith,Hawaii ,HONOLULU,15,003,HI 
96859,Tripler Army Medical Center,Hawaii ,HONOLULU,15,003,HI 
96898,Wake Island,Hawaii ,HONOLULU,15,003,HI 
