88901,The Lakes,Nevada ,CLARK,32,003,NV 
89111,Las Vegas,Nevada ,CLARK,32,003,NV 
89106,Las Vegas,Nevada ,CLARK,32,003,NV 
89107,Las Vegas,Nevada ,CLARK,32,003,NV 
89105,Las Vegas,Nevada ,CLARK,32,003,NV 
89109,Las Vegas,Nevada ,CLARK,32,003,NV 
89110,Las Vegas,Nevada ,CLARK,32,003,NV 
89108,Las Vegas,Nevada ,CLARK,32,003,NV 
89112,Las Vegas,Nevada ,CLARK,32,003,NV 
89113,Las Vegas,Nevada ,CLARK,32,003,NV 
89114,Las Vegas,Nevada ,CLARK,32,003,NV 
89115,Las Vegas,Nevada ,CLARK,32,003,NV 
89120,Las Vegas,Nevada ,CLARK,32,003,NV 
89118,Las Vegas,Nevada ,CLARK,32,003,NV 
89119,Las Vegas,Nevada ,CLARK,32,003,NV 
89116,Las Vegas,Nevada ,CLARK,32,003,NV 
89117,Las Vegas,Nevada ,CLARK,32,003,NV 
89121,Las Vegas,Nevada ,CLARK,32,003,NV 
89122,Las Vegas,Nevada ,CLARK,32,003,NV 
89128,Las Vegas,Nevada ,CLARK,32,003,NV 
89126,Las Vegas,Nevada ,CLARK,32,003,NV 
89125,Las Vegas,Nevada ,CLARK,32,003,NV 
89124,Las Vegas,Nevada ,CLARK,32,003,NV 
89123,Las Vegas,Nevada ,CLARK,32,003,NV 
89127,Las Vegas,Nevada ,CLARK,32,003,NV 
89129,Las Vegas,Nevada ,CLARK,32,003,NV 
89133,Las Vegas,Nevada ,CLARK,32,003,NV 
89130,Las Vegas,Nevada ,CLARK,32,003,NV 
89136,Las Vegas,Nevada ,CLARK,32,003,NV 
89134,Las Vegas,Nevada ,CLARK,32,003,NV 
89132,Las Vegas,Nevada ,CLARK,32,003,NV 
89131,Las Vegas,Nevada ,CLARK,32,003,NV 
89135,Las Vegas,Nevada ,CLARK,32,003,NV 
89137,Las Vegas,Nevada ,CLARK,32,003,NV 
89143,Las Vegas,Nevada ,CLARK,32,003,NV 
89138,Las Vegas,Nevada ,CLARK,32,003,NV 
89140,Las Vegas,Nevada ,CLARK,32,003,NV 
89142,Las Vegas,Nevada ,CLARK,32,003,NV 
89141,Las Vegas,Nevada ,CLARK,32,003,NV 
89144,Las Vegas,Nevada ,CLARK,32,003,NV 
89139,Las Vegas,Nevada ,CLARK,32,003,NV 
89145,Las Vegas,Nevada ,CLARK,32,003,NV 
89146,Las Vegas,Nevada ,CLARK,32,003,NV 
89152,Las Vegas,Nevada ,CLARK,32,003,NV 
89151,Las Vegas,Nevada ,CLARK,32,003,NV 
89147,Las Vegas,Nevada ,CLARK,32,003,NV 
89148,Las Vegas,Nevada ,CLARK,32,003,NV 
89150,Las Vegas,Nevada ,CLARK,32,003,NV 
89149,Las Vegas,Nevada ,CLARK,32,003,NV 
89153,Las Vegas,Nevada ,CLARK,32,003,NV 
89154,Las Vegas,Nevada ,CLARK,32,003,NV 
89159,Las Vegas,Nevada ,CLARK,32,003,NV 
89158,Las Vegas,Nevada ,CLARK,32,003,NV 
89156,Las Vegas,Nevada ,CLARK,32,003,NV 
89157,Las Vegas,Nevada ,CLARK,32,003,NV 
89161,Las Vegas,Nevada ,CLARK,32,003,NV 
89160,Las Vegas,Nevada ,CLARK,32,003,NV 
89155,Las Vegas,Nevada ,CLARK,32,003,NV 
89166,Las Vegas,Nevada ,CLARK,32,003,NV 
89162,Las Vegas,Nevada ,CLARK,32,003,NV 
89165,Las Vegas,Nevada ,CLARK,32,003,NV 
89164,Las Vegas,Nevada ,CLARK,32,003,NV 
89163,The Lakes,Nevada ,CLARK,32,003,NV 
89170,Las Vegas,Nevada ,CLARK,32,003,NV 
89173,Las Vegas,Nevada ,CLARK,32,003,NV 
89169,Las Vegas,Nevada ,CLARK,32,003,NV 
89177,Las Vegas,Nevada ,CLARK,32,003,NV 
89178,Las Vegas,Nevada ,CLARK,32,003,NV 
89180,Las Vegas,Nevada ,CLARK,32,003,NV 
89183,Las Vegas,Nevada ,CLARK,32,003,NV 
89193,Las Vegas,Nevada ,CLARK,32,003,NV 
89185,Las Vegas,Nevada ,CLARK,32,003,NV 
89179,Las Vegas,Nevada ,CLARK,32,003,NV 
89191,Nellis AFB,Nevada ,CLARK,32,003,NV 
89195,Las Vegas,Nevada ,CLARK,32,003,NV 
89301,Ely,Nevada ,WHITE PINE,32,033,NV 
89311,Baker,Nevada ,WHITE PINE,32,033,NV 
89199,Las Vegas,Nevada ,CLARK,32,003,NV 
89315,Ely,Nevada ,WHITE PINE,32,033,NV 
89314,Duckwater,Nevada ,WHITE PINE,32,033,NV 
89310,Austin,Nevada ,LANDER,32,015,NV 
89316,Eureka,Nevada ,EUREKA,32,011,NV 
89317,Lund,Nevada ,WHITE PINE,32,033,NV 
89318,Mc Gill,Nevada ,WHITE PINE,32,033,NV 
89319,Ruth,Nevada ,WHITE PINE,32,033,NV 
89405,Empire,Nevada ,WASHOE,32,031,NV 
89403,Dayton,Nevada ,LYON,32,019,NV 
89404,Denio,Nevada ,HUMBOLDT,32,013,NV 
89406,Fallon,Nevada ,CHURCHILL,32,001,NV 
89402,Crystal Bay,Nevada ,WASHOE,32,031,NV 
89407,Fallon,Nevada ,CHURCHILL,32,001,NV 
89408,Fernley,Nevada ,LYON,32,019,NV 
89412,Gerlach,Nevada ,WASHOE,32,031,NV 
89409,Gabbs,Nevada ,NYE,32,023,NV 
89411,Genoa,Nevada ,DOUGLAS,32,005,NV 
89414,Golconda,Nevada ,HUMBOLDT,32,013,NV 
89410,Gardnerville,Nevada ,DOUGLAS,32,005,NV 
89415,Hawthorne,Nevada ,MINERAL,32,021,NV 
89413,Glenbrook,Nevada ,DOUGLAS,32,005,NV 
89418,Imlay,Nevada ,PERSHING,32,027,NV 
89419,Lovelock,Nevada ,PERSHING,32,027,NV 
89421,Mc Dermitt,Nevada ,HUMBOLDT,32,013,NV 
89422,Mina,Nevada ,MINERAL,32,021,NV 
89424,Nixon,Nevada ,WASHOE,32,031,NV 
89423,Minden,Nevada ,DOUGLAS,32,005,NV 
89420,Luning,Nevada ,MINERAL,32,021,NV 
89425,Orovada,Nevada ,HUMBOLDT,32,013,NV 
89426,Paradise Valley,Nevada ,HUMBOLDT,32,013,NV 
89427,Schurz,Nevada ,MINERAL,32,021,NV 
89428,Silver City,Nevada ,LYON,32,019,NV 
89431,Sparks,Nevada ,WASHOE,32,031,NV 
89430,Smith,Nevada ,LYON,32,019,NV 
89432,Sparks,Nevada ,WASHOE,32,031,NV 
89429,Silver Springs,Nevada ,LYON,32,019,NV 
89434,Sparks,Nevada ,WASHOE,32,031,NV 
89433,Sun Valley,Nevada ,WASHOE,32,031,NV 
89435,Sparks,Nevada ,WASHOE,32,031,NV 
89436,Sparks,Nevada ,WASHOE,32,031,NV 
89438,Valmy,Nevada ,HUMBOLDT,32,013,NV 
89441,Sparks,Nevada ,WASHOE,32,031,NV 
89439,Verdi,Nevada ,WASHOE,32,031,NV 
89437,Sparks,Nevada ,STOREY,32,029,NV 
89442,Wadsworth,Nevada ,WASHOE,32,031,NV 
89440,Virginia City,Nevada ,STOREY,32,029,NV 
89444,Wellington,Nevada ,LYON,32,019,NV 
89445,Winnemucca,Nevada ,HUMBOLDT,32,013,NV 
89447,Yerington,Nevada ,LYON,32,019,NV 
89446,Winnemucca,Nevada ,HUMBOLDT,32,013,NV 
89448,Zephyr Cove,Nevada ,DOUGLAS,32,005,NV 
89450,Incline Village,Nevada ,WASHOE,32,031,NV 
89449,Stateline,Nevada ,DOUGLAS,32,005,NV 
89451,Incline Village,Nevada ,WASHOE,32,031,NV 
89452,Incline Village,Nevada ,WASHOE,32,031,NV 
89460,Gardnerville,Nevada ,DOUGLAS,32,005,NV 
89501,Reno,Nevada ,WASHOE,32,031,NV 
89496,Fallon,Nevada ,CHURCHILL,32,001,NV 
89505,Reno,Nevada ,WASHOE,32,031,NV 
89503,Reno,Nevada ,WASHOE,32,031,NV 
89502,Reno,Nevada ,WASHOE,32,031,NV 
89504,Reno,Nevada ,WASHOE,32,031,NV 
89507,Reno,Nevada ,WASHOE,32,031,NV 
89506,Reno,Nevada ,WASHOE,32,031,NV 
89508,Reno,Nevada ,WASHOE,32,031,NV 
89511,Reno,Nevada ,WASHOE,32,031,NV 
89509,Reno,Nevada ,WASHOE,32,031,NV 
89515,Reno,Nevada ,WASHOE,32,031,NV 
89512,Reno,Nevada ,WASHOE,32,031,NV 
89510,Reno,Nevada ,WASHOE,32,031,NV 
89519,Reno,Nevada ,WASHOE,32,031,NV 
89513,Reno,Nevada ,WASHOE,32,031,NV 
89520,Reno,Nevada ,WASHOE,32,031,NV 
89521,Reno,Nevada ,WASHOE,32,031,NV 
89557,Reno,Nevada ,WASHOE,32,031,NV 
89595,Reno,Nevada ,WASHOE,32,031,NV 
89533,Reno,Nevada ,WASHOE,32,031,NV 
89555,Reno,Nevada ,WASHOE,32,031,NV 
89570,Reno,Nevada ,WASHOE,32,031,NV 
89523,Reno,Nevada ,WASHOE,32,031,NV 
89599,Reno,Nevada ,WASHOE,32,031,NV 
89702,Carson City,Nevada ,CARSON CITY,32,510,NV 
89701,Carson City,Nevada ,CARSON CITY,32,510,NV 
89703,Carson City,Nevada ,CARSON CITY,32,510,NV 
89705,Carson City,Nevada ,DOUGLAS,32,005,NV 
89704,Washoe Valley,Nevada ,WASHOE,32,031,NV 
89711,Carson City,Nevada ,CARSON CITY,32,510,NV 
89706,Carson City,Nevada ,CARSON CITY,32,510,NV 
89712,Carson City,Nevada ,CARSON CITY,32,510,NV 
89714,Carson City,Nevada ,CARSON CITY,32,510,NV 
89713,Carson City,Nevada ,CARSON CITY,32,510,NV 
89801,Elko,Nevada ,ELKO,32,007,NV 
89721,Carson City,Nevada ,CARSON CITY,32,510,NV 
89802,Elko,Nevada ,ELKO,32,007,NV 
89803,Elko,Nevada ,ELKO,32,007,NV 
89815,Spring Creek,Nevada ,ELKO,32,007,NV 
89821,Crescent Valley,Nevada ,EUREKA,32,011,NV 
89820,Battle Mountain,Nevada ,LANDER,32,015,NV 
89822,Carlin,Nevada ,ELKO,32,007,NV 
89823,Deeth,Nevada ,ELKO,32,007,NV 
89825,Jackpot,Nevada ,ELKO,32,007,NV 
89826,Jarbidge,Nevada ,ELKO,32,007,NV 
89828,Lamoille,Nevada ,ELKO,32,007,NV 
89830,Montello,Nevada ,ELKO,32,007,NV 
89831,Mountain City,Nevada ,ELKO,32,007,NV 
89833,Ruby Valley,Nevada ,ELKO,32,007,NV 
89832,Owyhee,Nevada ,ELKO,32,007,NV 
89883,West Wendover,Nevada ,ELKO,32,007,NV 
89835,Wells,Nevada ,ELKO,32,007,NV 
89834,Tuscarora,Nevada ,ELKO,32,007,NV 
