07003,Bloomfield,New Jersey ,ESSEX,34,013,NJ 
07208,Elizabeth,New Jersey ,UNION,34,039,NJ 
07303,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07305,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07306,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07311,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07310,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07308,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07307,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07395,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07399,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07401,Allendale,New Jersey ,BERGEN,34,003,NJ 
07403,Bloomingdale,New Jersey ,PASSAIC,34,031,NJ 
07405,Butler,New Jersey ,MORRIS,34,027,NJ 
07418,Glenwood,New Jersey ,SUSSEX,34,037,NJ 
07407,Elmwood Park,New Jersey ,BERGEN,34,003,NJ 
07416,Franklin,New Jersey ,SUSSEX,34,037,NJ 
07417,Franklin Lakes,New Jersey ,BERGEN,34,003,NJ 
07410,Fair Lawn,New Jersey ,BERGEN,34,003,NJ 
07419,Hamburg,New Jersey ,SUSSEX,34,037,NJ 
07420,Haskell,New Jersey ,PASSAIC,34,031,NJ 
07422,Highland Lakes,New Jersey ,SUSSEX,34,037,NJ 
07421,Hewitt,New Jersey ,PASSAIC,34,031,NJ 
07423,Ho Ho Kus,New Jersey ,BERGEN,34,003,NJ 
07430,Mahwah,New Jersey ,BERGEN,34,003,NJ 
07428,Mc Afee,New Jersey ,SUSSEX,34,037,NJ 
07424,Little Falls,New Jersey ,PASSAIC,34,031,NJ 
07432,Midland Park,New Jersey ,BERGEN,34,003,NJ 
07435,Newfoundland,New Jersey ,PASSAIC,34,031,NJ 
07436,Oakland,New Jersey ,BERGEN,34,003,NJ 
07438,Oak Ridge,New Jersey ,PASSAIC,34,031,NJ 
07446,Ramsey,New Jersey ,BERGEN,34,003,NJ 
07440,Pequannock,New Jersey ,MORRIS,34,027,NJ 
07442,Pompton Lakes,New Jersey ,PASSAIC,34,031,NJ 
07444,Pompton Plains,New Jersey ,MORRIS,34,027,NJ 
07439,Ogdensburg,New Jersey ,SUSSEX,34,037,NJ 
07450,Ridgewood,New Jersey ,BERGEN,34,003,NJ 
07460,Stockholm,New Jersey ,SUSSEX,34,037,NJ 
07452,Glen Rock,New Jersey ,BERGEN,34,003,NJ 
07461,Sussex,New Jersey ,SUSSEX,34,037,NJ 
07456,Ringwood,New Jersey ,PASSAIC,34,031,NJ 
07458,Saddle River,New Jersey ,BERGEN,34,003,NJ 
07451,Ridgewood,New Jersey ,BERGEN,34,003,NJ 
07457,Riverdale,New Jersey ,MORRIS,34,027,NJ 
07462,Vernon,New Jersey ,SUSSEX,34,037,NJ 
07463,Waldwick,New Jersey ,BERGEN,34,003,NJ 
07495,Mahwah,New Jersey ,BERGEN,34,003,NJ 
07465,Wanaque,New Jersey ,PASSAIC,34,031,NJ 
07470,Wayne,New Jersey ,PASSAIC,34,031,NJ 
07474,Wayne,New Jersey ,PASSAIC,34,031,NJ 
07481,Wyckoff,New Jersey ,BERGEN,34,003,NJ 
07480,West Milford,New Jersey ,PASSAIC,34,031,NJ 
07501,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07508,Haledon,New Jersey ,PASSAIC,34,031,NJ 
07503,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07502,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07507,Hawthorne,New Jersey ,PASSAIC,34,031,NJ 
07504,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07506,Hawthorne,New Jersey ,PASSAIC,34,031,NJ 
07505,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07509,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07511,Totowa,New Jersey ,PASSAIC,34,031,NJ 
07510,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07512,Totowa,New Jersey ,PASSAIC,34,031,NJ 
07522,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07513,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07514,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07524,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07533,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07543,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07538,Haledon,New Jersey ,PASSAIC,34,031,NJ 
07601,Hackensack,New Jersey ,BERGEN,34,003,NJ 
07602,Hackensack,New Jersey ,BERGEN,34,003,NJ 
07604,Hasbrouck Heights,New Jersey ,BERGEN,34,003,NJ 
07605,Leonia,New Jersey ,BERGEN,34,003,NJ 
07544,Paterson,New Jersey ,PASSAIC,34,031,NJ 
07603,Bogota,New Jersey ,BERGEN,34,003,NJ 
07607,Maywood,New Jersey ,BERGEN,34,003,NJ 
07606,South Hackensack,New Jersey ,BERGEN,34,003,NJ 
07608,Teterboro,New Jersey ,BERGEN,34,003,NJ 
07620,Alpine,New Jersey ,BERGEN,34,003,NJ 
07626,Cresskill,New Jersey ,BERGEN,34,003,NJ 
07627,Demarest,New Jersey ,BERGEN,34,003,NJ 
07621,Bergenfield,New Jersey ,BERGEN,34,003,NJ 
07624,Closter,New Jersey ,BERGEN,34,003,NJ 
07628,Dumont,New Jersey ,BERGEN,34,003,NJ 
07630,Emerson,New Jersey ,BERGEN,34,003,NJ 
07632,Englewood Cliffs,New Jersey ,BERGEN,34,003,NJ 
07643,Little Ferry,New Jersey ,BERGEN,34,003,NJ 
07641,Haworth,New Jersey ,BERGEN,34,003,NJ 
07631,Englewood,New Jersey ,BERGEN,34,003,NJ 
07642,Hillsdale,New Jersey ,BERGEN,34,003,NJ 
07640,Harrington Park,New Jersey ,BERGEN,34,003,NJ 
07644,Lodi,New Jersey ,BERGEN,34,003,NJ 
07645,Montvale,New Jersey ,BERGEN,34,003,NJ 
07649,Oradell,New Jersey ,BERGEN,34,003,NJ 
07647,Northvale,New Jersey ,BERGEN,34,003,NJ 
07648,Norwood,New Jersey ,BERGEN,34,003,NJ 
07650,Palisades Park,New Jersey ,BERGEN,34,003,NJ 
07652,Paramus,New Jersey ,BERGEN,34,003,NJ 
07646,New Milford,New Jersey ,BERGEN,34,003,NJ 
07653,Paramus,New Jersey ,BERGEN,34,003,NJ 
07656,Park Ridge,New Jersey ,BERGEN,34,003,NJ 
07660,Ridgefield Park,New Jersey ,BERGEN,34,003,NJ 
07666,Teaneck,New Jersey ,BERGEN,34,003,NJ 
07663,Saddle Brook,New Jersey ,BERGEN,34,003,NJ 
07662,Rochelle Park,New Jersey ,BERGEN,34,003,NJ 
07675,Westwood,New Jersey ,BERGEN,34,003,NJ 
07657,Ridgefield,New Jersey ,BERGEN,34,003,NJ 
07661,River Edge,New Jersey ,BERGEN,34,003,NJ 
07670,Tenafly,New Jersey ,BERGEN,34,003,NJ 
07676,Township Of Washington,New Jersey ,BERGEN,34,003,NJ 
07704,Fair Haven,New Jersey ,MONMOUTH,34,025,NJ 
07701,Red Bank,New Jersey ,MONMOUTH,34,025,NJ 
07677,Woodcliff Lake,New Jersey ,BERGEN,34,003,NJ 
07699,Teterboro,New Jersey ,BERGEN,34,003,NJ 
07710,Adelphia,New Jersey ,MONMOUTH,34,025,NJ 
07703,Fort Monmouth,New Jersey ,MONMOUTH,34,025,NJ 
07702,Shrewsbury,New Jersey ,MONMOUTH,34,025,NJ 
07711,Allenhurst,New Jersey ,MONMOUTH,34,025,NJ 
07719,Belmar,New Jersey ,MONMOUTH,34,025,NJ 
07720,Bradley Beach,New Jersey ,MONMOUTH,34,025,NJ 
07716,Atlantic Highlands,New Jersey ,MONMOUTH,34,025,NJ 
07717,Avon By The Sea,New Jersey ,MONMOUTH,34,025,NJ 
07718,Belford,New Jersey ,MONMOUTH,34,025,NJ 
07712,Asbury Park,New Jersey ,MONMOUTH,34,025,NJ 
07715,Belmar,New Jersey ,MONMOUTH,34,025,NJ 
07721,Cliffwood,New Jersey ,MONMOUTH,34,025,NJ 
07722,Colts Neck,New Jersey ,MONMOUTH,34,025,NJ 
07723,Deal,New Jersey ,MONMOUTH,34,025,NJ 
07730,Hazlet,New Jersey ,MONMOUTH,34,025,NJ 
07726,Englishtown,New Jersey ,MONMOUTH,34,025,NJ 
07724,Eatontown,New Jersey ,MONMOUTH,34,025,NJ 
07727,Farmingdale,New Jersey ,MONMOUTH,34,025,NJ 
07728,Freehold,New Jersey ,MONMOUTH,34,025,NJ 
07731,Howell,New Jersey ,MONMOUTH,34,025,NJ 
07732,Highlands,New Jersey ,MONMOUTH,34,025,NJ 
07739,Little Silver,New Jersey ,MONMOUTH,34,025,NJ 
07734,Keansburg,New Jersey ,MONMOUTH,34,025,NJ 
07737,Leonardo,New Jersey ,MONMOUTH,34,025,NJ 
07738,Lincroft,New Jersey ,MONMOUTH,34,025,NJ 
07735,Keyport,New Jersey ,MONMOUTH,34,025,NJ 
07740,Long Branch,New Jersey ,MONMOUTH,34,025,NJ 
07733,Holmdel,New Jersey ,MONMOUTH,34,025,NJ 
07746,Marlboro,New Jersey ,MONMOUTH,34,025,NJ 
07747,Matawan,New Jersey ,MONMOUTH,34,025,NJ 
07751,Morganville,New Jersey ,MONMOUTH,34,025,NJ 
07750,Monmouth Beach,New Jersey ,MONMOUTH,34,025,NJ 
07754,Neptune,New Jersey ,MONMOUTH,34,025,NJ 
07753,Neptune,New Jersey ,MONMOUTH,34,025,NJ 
07748,Middletown,New Jersey ,MONMOUTH,34,025,NJ 
07752,Navesink,New Jersey ,MONMOUTH,34,025,NJ 
07755,Oakhurst,New Jersey ,MONMOUTH,34,025,NJ 
07757,Oceanport,New Jersey ,MONMOUTH,34,025,NJ 
07756,Ocean Grove,New Jersey ,MONMOUTH,34,025,NJ 
07758,Port Monmouth,New Jersey ,MONMOUTH,34,025,NJ 
07765,Wickatunk,New Jersey ,MONMOUTH,34,025,NJ 
07762,Spring Lake,New Jersey ,MONMOUTH,34,025,NJ 
07760,Rumson,New Jersey ,MONMOUTH,34,025,NJ 
07763,Tennent,New Jersey ,MONMOUTH,34,025,NJ 
07764,West Long Branch,New Jersey ,MONMOUTH,34,025,NJ 
07802,Dover,New Jersey ,MORRIS,34,027,NJ 
07801,Dover,New Jersey ,MORRIS,34,027,NJ 
07821,Andover,New Jersey ,SUSSEX,34,037,NJ 
07820,Allamuchy,New Jersey ,WARREN,34,041,NJ 
07803,Mine Hill,New Jersey ,MORRIS,34,027,NJ 
07822,Augusta,New Jersey ,SUSSEX,34,037,NJ 
07806,Picatinny Arsenal,New Jersey ,MORRIS,34,027,NJ 
07799,Eatontown,New Jersey ,MONMOUTH,34,025,NJ 
07823,Belvidere,New Jersey ,WARREN,34,041,NJ 
07825,Blairstown,New Jersey ,WARREN,34,041,NJ 
07830,Califon,New Jersey ,HUNTERDON,34,019,NJ 
07831,Changewater,New Jersey ,WARREN,34,041,NJ 
07828,Budd Lake,New Jersey ,MORRIS,34,027,NJ 
07829,Buttzville,New Jersey ,WARREN,34,041,NJ 
07827,Montague,New Jersey ,SUSSEX,34,037,NJ 
07826,Branchville,New Jersey ,SUSSEX,34,037,NJ 
07832,Columbia,New Jersey ,WARREN,34,041,NJ 
07834,Denville,New Jersey ,MORRIS,34,027,NJ 
07833,Delaware,New Jersey ,WARREN,34,041,NJ 
07838,Great Meadows,New Jersey ,WARREN,34,041,NJ 
07836,Flanders,New Jersey ,MORRIS,34,027,NJ 
07839,Greendell,New Jersey ,SUSSEX,34,037,NJ 
07837,Glasser,New Jersey ,SUSSEX,34,037,NJ 
07840,Hackettstown,New Jersey ,WARREN,34,041,NJ 
07842,Hibernia,New Jersey ,MORRIS,34,027,NJ 
07843,Hopatcong,New Jersey ,SUSSEX,34,037,NJ 
07844,Hope,New Jersey ,WARREN,34,041,NJ 
07846,Johnsonburg,New Jersey ,WARREN,34,041,NJ 
07848,Lafayette,New Jersey ,SUSSEX,34,037,NJ 
07847,Kenvil,New Jersey ,MORRIS,34,027,NJ 
07849,Lake Hopatcong,New Jersey ,MORRIS,34,027,NJ 
07845,Ironia,New Jersey ,MORRIS,34,027,NJ 
07850,Landing,New Jersey ,MORRIS,34,027,NJ 
07851,Layton,New Jersey ,SUSSEX,34,037,NJ 
07852,Ledgewood,New Jersey ,MORRIS,34,027,NJ 
07855,Middleville,New Jersey ,SUSSEX,34,037,NJ 
07853,Long Valley,New Jersey ,MORRIS,34,027,NJ 
07863,Oxford,New Jersey ,WARREN,34,041,NJ 
07857,Netcong,New Jersey ,MORRIS,34,027,NJ 
07865,Port Murray,New Jersey ,WARREN,34,041,NJ 
07856,Mount Arlington,New Jersey ,MORRIS,34,027,NJ 
07860,Newton,New Jersey ,SUSSEX,34,037,NJ 
07866,Rockaway,New Jersey ,MORRIS,34,027,NJ 
07869,Randolph,New Jersey ,MORRIS,34,027,NJ 
07871,Sparta,New Jersey ,SUSSEX,34,037,NJ 
07870,Schooleys Mountain,New Jersey ,MORRIS,34,027,NJ 
07877,Swartswood,New Jersey ,SUSSEX,34,037,NJ 
07875,Stillwater,New Jersey ,SUSSEX,34,037,NJ 
07876,Succasunna,New Jersey ,MORRIS,34,027,NJ 
07874,Stanhope,New Jersey ,SUSSEX,34,037,NJ 
07878,Mount Tabor,New Jersey ,MORRIS,34,027,NJ 
07880,Vienna,New Jersey ,WARREN,34,041,NJ 
07879,Tranquility,New Jersey ,SUSSEX,34,037,NJ 
07881,Wallpack Center,New Jersey ,SUSSEX,34,037,NJ 
07882,Washington,New Jersey ,WARREN,34,041,NJ 
07885,Wharton,New Jersey ,MORRIS,34,027,NJ 
07901,Summit,New Jersey ,UNION,34,039,NJ 
07890,Branchville,New Jersey ,SUSSEX,34,037,NJ 
07902,Summit,New Jersey ,UNION,34,039,NJ 
07920,Basking Ridge,New Jersey ,SOMERSET,34,035,NJ 
07924,Bernardsville,New Jersey ,SOMERSET,34,035,NJ 
07926,Brookside,New Jersey ,MORRIS,34,027,NJ 
07928,Chatham,New Jersey ,MORRIS,34,027,NJ 
07922,Berkeley Heights,New Jersey ,UNION,34,039,NJ 
07927,Cedar Knolls,New Jersey ,MORRIS,34,027,NJ 
07921,Bedminster,New Jersey ,SOMERSET,34,035,NJ 
07931,Far Hills,New Jersey ,SOMERSET,34,035,NJ 
07930,Chester,New Jersey ,MORRIS,34,027,NJ 
07932,Florham Park,New Jersey ,MORRIS,34,027,NJ 
07935,Green Village,New Jersey ,MORRIS,34,027,NJ 
07936,East Hanover,New Jersey ,MORRIS,34,027,NJ 
07938,Liberty Corner,New Jersey ,SOMERSET,34,035,NJ 
07934,Gladstone,New Jersey ,SOMERSET,34,035,NJ 
07933,Gillette,New Jersey ,MORRIS,34,027,NJ 
07940,Madison,New Jersey ,MORRIS,34,027,NJ 
07939,Lyons,New Jersey ,SOMERSET,34,035,NJ 
07945,Mendham,New Jersey ,MORRIS,34,027,NJ 
07946,Millington,New Jersey ,MORRIS,34,027,NJ 
07950,Morris Plains,New Jersey ,MORRIS,34,027,NJ 
07962,Morristown,New Jersey ,MORRIS,34,027,NJ 
07970,Mount Freedom,New Jersey ,MORRIS,34,027,NJ 
07963,Morristown,New Jersey ,MORRIS,34,027,NJ 
07960,Morristown,New Jersey ,MORRIS,34,027,NJ 
07961,Convent Station,New Jersey ,MORRIS,34,027,NJ 
07974,New Providence,New Jersey ,UNION,34,039,NJ 
07981,Whippany,New Jersey ,MORRIS,34,027,NJ 
07976,New Vernon,New Jersey ,MORRIS,34,027,NJ 
07979,Pottersville,New Jersey ,HUNTERDON,34,019,NJ 
07999,Whippany,New Jersey ,MORRIS,34,027,NJ 
07977,Peapack,New Jersey ,SOMERSET,34,035,NJ 
07978,Pluckemin,New Jersey ,SOMERSET,34,035,NJ 
07980,Stirling,New Jersey ,MORRIS,34,027,NJ 
08001,Alloway,New Jersey ,SALEM,34,033,NJ 
08003,Cherry Hill,New Jersey ,CAMDEN,34,007,NJ 
08002,Cherry Hill,New Jersey ,CAMDEN,34,007,NJ 
08004,Atco,New Jersey ,CAMDEN,34,007,NJ 
08005,Barnegat,New Jersey ,OCEAN,34,029,NJ 
08006,Barnegat Light,New Jersey ,OCEAN,34,029,NJ 
08008,Beach Haven,New Jersey ,OCEAN,34,029,NJ 
08007,Barrington,New Jersey ,CAMDEN,34,007,NJ 
08009,Berlin,New Jersey ,CAMDEN,34,007,NJ 
08010,Beverly,New Jersey ,BURLINGTON,34,005,NJ 
08011,Birmingham,New Jersey ,BURLINGTON,34,005,NJ 
08014,Bridgeport,New Jersey ,GLOUCESTER,34,015,NJ 
08012,Blackwood,New Jersey ,CAMDEN,34,007,NJ 
08016,Burlington,New Jersey ,BURLINGTON,34,005,NJ 
08015,Browns Mills,New Jersey ,BURLINGTON,34,005,NJ 
08018,Cedar Brook,New Jersey ,CAMDEN,34,007,NJ 
08019,Chatsworth,New Jersey ,BURLINGTON,34,005,NJ 
08020,Clarksboro,New Jersey ,GLOUCESTER,34,015,NJ 
08021,Clementon,New Jersey ,CAMDEN,34,007,NJ 
08026,Gibbsboro,New Jersey ,CAMDEN,34,007,NJ 
08025,Ewan,New Jersey ,GLOUCESTER,34,015,NJ 
08022,Columbus,New Jersey ,BURLINGTON,34,005,NJ 
08027,Gibbstown,New Jersey ,GLOUCESTER,34,015,NJ 
08023,Deepwater,New Jersey ,SALEM,34,033,NJ 
08028,Glassboro,New Jersey ,GLOUCESTER,34,015,NJ 
08029,Glendora,New Jersey ,CAMDEN,34,007,NJ 
08030,Gloucester City,New Jersey ,CAMDEN,34,007,NJ 
08033,Haddonfield,New Jersey ,CAMDEN,34,007,NJ 
08031,Bellmawr,New Jersey ,CAMDEN,34,007,NJ 
08032,Grenloch,New Jersey ,GLOUCESTER,34,015,NJ 
08035,Haddon Heights,New Jersey ,CAMDEN,34,007,NJ 
08034,Cherry Hill,New Jersey ,CAMDEN,34,007,NJ 
08036,Hainesport,New Jersey ,BURLINGTON,34,005,NJ 
08038,Hancocks Bridge,New Jersey ,SALEM,34,033,NJ 
08037,Hammonton,New Jersey ,ATLANTIC,34,001,NJ 
08039,Harrisonville,New Jersey ,GLOUCESTER,34,015,NJ 
08048,Lumberton,New Jersey ,BURLINGTON,34,005,NJ 
08043,Voorhees,New Jersey ,CAMDEN,34,007,NJ 
08041,Jobstown,New Jersey ,BURLINGTON,34,005,NJ 
08045,Lawnside,New Jersey ,CAMDEN,34,007,NJ 
08042,Juliustown,New Jersey ,BURLINGTON,34,005,NJ 
08046,Willingboro,New Jersey ,BURLINGTON,34,005,NJ 
08049,Magnolia,New Jersey ,CAMDEN,34,007,NJ 
08050,Manahawkin,New Jersey ,OCEAN,34,029,NJ 
08054,Mount Laurel,New Jersey ,BURLINGTON,34,005,NJ 
08051,Mantua,New Jersey ,GLOUCESTER,34,015,NJ 
08056,Mickleton,New Jersey ,GLOUCESTER,34,015,NJ 
08052,Maple Shade,New Jersey ,BURLINGTON,34,005,NJ 
08055,Medford,New Jersey ,BURLINGTON,34,005,NJ 
08053,Marlton,New Jersey ,BURLINGTON,34,005,NJ 
08055,Medford,New Jersey ,BURLINGTON,34,005,NJ 
08057,Moorestown,New Jersey ,BURLINGTON,34,005,NJ 
08062,Mullica Hill,New Jersey ,GLOUCESTER,34,015,NJ 
08061,Mount Royal,New Jersey ,GLOUCESTER,34,015,NJ 
08064,New Lisbon,New Jersey ,BURLINGTON,34,005,NJ 
08060,Mount Holly,New Jersey ,BURLINGTON,34,005,NJ 
08062,Mullica Hill,New Jersey ,GLOUCESTER,34,015,NJ 
08063,National Park,New Jersey ,GLOUCESTER,34,015,NJ 
08059,Mount Ephraim,New Jersey ,CAMDEN,34,007,NJ 
08065,Palmyra,New Jersey ,BURLINGTON,34,005,NJ 
08069,Penns Grove,New Jersey ,SALEM,34,033,NJ 
08071,Pitman,New Jersey ,GLOUCESTER,34,015,NJ 
08068,Pemberton,New Jersey ,BURLINGTON,34,005,NJ 
08070,Pennsville,New Jersey ,SALEM,34,033,NJ 
08067,Pedricktown,New Jersey ,SALEM,34,033,NJ 
08066,Paulsboro,New Jersey ,GLOUCESTER,34,015,NJ 
08072,Quinton,New Jersey ,SALEM,34,033,NJ 
08073,Rancocas,New Jersey ,BURLINGTON,34,005,NJ 
08074,Richwood,New Jersey ,GLOUCESTER,34,015,NJ 
08078,Runnemede,New Jersey ,CAMDEN,34,007,NJ 
08075,Riverside,New Jersey ,BURLINGTON,34,005,NJ 
08076,Riverton,New Jersey ,BURLINGTON,34,005,NJ 
