70002,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70141,New Orleans,Louisiana ,JEFFERSON,22,051,LA 
70142,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70145,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70150,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70143,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70146,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70148,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70151,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70152,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70153,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70157,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70154,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70161,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70156,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70160,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70158,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70159,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70162,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70163,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70167,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70165,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70164,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70172,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70170,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70174,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70175,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70177,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70166,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70181,New Orleans,Louisiana ,JEFFERSON,22,051,LA 
70176,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70182,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70178,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70179,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70184,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70183,New Orleans,Louisiana ,JEFFERSON,22,051,LA 
70187,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70189,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70195,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70186,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70190,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70185,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70302,Thibodaux,Louisiana ,LAFOURCHE,22,057,LA 
70301,Thibodaux,Louisiana ,LAFOURCHE,22,057,LA 
70310,Thibodaux,Louisiana ,LAFOURCHE,22,057,LA 
70339,Pierre Part,Louisiana ,ASSUMPTION,22,007,LA 
70343,Bourg,Louisiana ,TERREBONNE,22,109,LA 
70342,Berwick,Louisiana ,SAINT MARY,22,101,LA 
70340,Amelia,Louisiana ,SAINT MARY,22,101,LA 
70341,Belle Rose,Louisiana ,ASSUMPTION,22,007,LA 
70344,Chauvin,Louisiana ,TERREBONNE,22,109,LA 
70345,Cut Off,Louisiana ,LAFOURCHE,22,057,LA 
70353,Dulac,Louisiana ,TERREBONNE,22,109,LA 
70355,Gheens,Louisiana ,LAFOURCHE,22,057,LA 
70346,Donaldsonville,Louisiana ,ASCENSION,22,005,LA 
70352,Donner,Louisiana ,TERREBONNE,22,109,LA 
70356,Gibson,Louisiana ,TERREBONNE,22,109,LA 
70354,Galliano,Louisiana ,LAFOURCHE,22,057,LA 
70357,Golden Meadow,Louisiana ,LAFOURCHE,22,057,LA 
70359,Gray,Louisiana ,TERREBONNE,22,109,LA 
70371,Kraemer,Louisiana ,LAFOURCHE,22,057,LA 
70358,Grand Isle,Louisiana ,JEFFERSON,22,051,LA 
70363,Houma,Louisiana ,TERREBONNE,22,109,LA 
70360,Houma,Louisiana ,TERREBONNE,22,109,LA 
70364,Houma,Louisiana ,TERREBONNE,22,109,LA 
70361,Houma,Louisiana ,TERREBONNE,22,109,LA 
70372,Labadieville,Louisiana ,ASSUMPTION,22,007,LA 
70373,Larose,Louisiana ,LAFOURCHE,22,057,LA 
70375,Mathews,Louisiana ,LAFOURCHE,22,057,LA 
70374,Lockport,Louisiana ,LAFOURCHE,22,057,LA 
70391,Paincourtville,Louisiana ,ASSUMPTION,22,007,LA 
70380,Morgan City,Louisiana ,SAINT MARY,22,101,LA 
70390,Napoleonville,Louisiana ,ASSUMPTION,22,007,LA 
70377,Montegut,Louisiana ,TERREBONNE,22,109,LA 
70381,Morgan City,Louisiana ,SAINT MARY,22,101,LA 
70392,Patterson,Louisiana ,SAINT MARY,22,101,LA 
70403,Hammond,Louisiana ,TANGIPAHOA,22,105,LA 
70401,Hammond,Louisiana ,TANGIPAHOA,22,105,LA 
70402,Hammond,Louisiana ,TANGIPAHOA,22,105,LA 
70395,Schriever,Louisiana ,TERREBONNE,22,109,LA 
70393,Plattenville,Louisiana ,ASSUMPTION,22,007,LA 
70397,Theriot,Louisiana ,TERREBONNE,22,109,LA 
70394,Raceland,Louisiana ,LAFOURCHE,22,057,LA 
70404,Hammond,Louisiana ,TANGIPAHOA,22,105,LA 
70431,Bush,Louisiana ,SAINT TAMMANY,22,103,LA 
70422,Amite,Louisiana ,TANGIPAHOA,22,105,LA 
70426,Angie,Louisiana ,WASHINGTON,22,117,LA 
70421,Akers,Louisiana ,TANGIPAHOA,22,105,LA 
70429,Bogalusa,Louisiana ,WASHINGTON,22,117,LA 
70420,Abita Springs,Louisiana ,SAINT TAMMANY,22,103,LA 
70427,Bogalusa,Louisiana ,WASHINGTON,22,117,LA 
70433,Covington,Louisiana ,SAINT TAMMANY,22,103,LA 
70434,Covington,Louisiana ,SAINT TAMMANY,22,103,LA 
70435,Covington,Louisiana ,SAINT TAMMANY,22,103,LA 
70437,Folsom,Louisiana ,SAINT TAMMANY,22,103,LA 
70438,Franklinton,Louisiana ,WASHINGTON,22,117,LA 
70441,Greensburg,Louisiana ,SAINT HELENA,22,091,LA 
70436,Fluker,Louisiana ,TANGIPAHOA,22,105,LA 
70442,Husser,Louisiana ,TANGIPAHOA,22,105,LA 
70443,Independence,Louisiana ,TANGIPAHOA,22,105,LA 
70444,Kentwood,Louisiana ,TANGIPAHOA,22,105,LA 
70445,Lacombe,Louisiana ,SAINT TAMMANY,22,103,LA 
70447,Madisonville,Louisiana ,SAINT TAMMANY,22,103,LA 
70451,Natalbany,Louisiana ,TANGIPAHOA,22,105,LA 
70450,Mount Hermon,Louisiana ,WASHINGTON,22,117,LA 
70448,Mandeville,Louisiana ,SAINT TAMMANY,22,103,LA 
70446,Loranger,Louisiana ,TANGIPAHOA,22,105,LA 
70449,Maurepas,Louisiana ,LIVINGSTON,22,063,LA 
70452,Pearl River,Louisiana ,SAINT TAMMANY,22,103,LA 
70453,Pine Grove,Louisiana ,SAINT HELENA,22,091,LA 
70456,Roseland,Louisiana ,TANGIPAHOA,22,105,LA 
70455,Robert,Louisiana ,TANGIPAHOA,22,105,LA 
70459,Slidell,Louisiana ,SAINT TAMMANY,22,103,LA 
70457,Saint Benedict,Louisiana ,SAINT TAMMANY,22,103,LA 
70458,Slidell,Louisiana ,SAINT TAMMANY,22,103,LA 
70460,Slidell,Louisiana ,SAINT TAMMANY,22,103,LA 
70454,Ponchatoula,Louisiana ,TANGIPAHOA,22,105,LA 
70461,Slidell,Louisiana ,SAINT TAMMANY,22,103,LA 
70462,Springfield,Louisiana ,LIVINGSTON,22,063,LA 
70465,Tangipahoa,Louisiana ,TANGIPAHOA,22,105,LA 
70463,Sun,Louisiana ,SAINT TAMMANY,22,103,LA 
70466,Tickfaw,Louisiana ,TANGIPAHOA,22,105,LA 
70464,Talisheek,Louisiana ,SAINT TAMMANY,22,103,LA 
70469,Slidell,Louisiana ,SAINT TAMMANY,22,103,LA 
70467,Varnado,Louisiana ,WASHINGTON,22,117,LA 
70470,Mandeville,Louisiana ,SAINT TAMMANY,22,103,LA 
70471,Mandeville,Louisiana ,SAINT TAMMANY,22,103,LA 
70501,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70506,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70505,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70504,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70502,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70503,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70507,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70508,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70509,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70511,Abbeville,Louisiana ,VERMILION,22,113,LA 
70510,Abbeville,Louisiana ,VERMILION,22,113,LA 
70512,Arnaudville,Louisiana ,SAINT LANDRY,22,097,LA 
70513,Avery Island,Louisiana ,IBERIA,22,045,LA 
70515,Basile,Louisiana ,EVANGELINE,22,039,LA 
70516,Branch,Louisiana ,ACADIA,22,001,LA 
70514,Baldwin,Louisiana ,SAINT MARY,22,101,LA 
70517,Breaux Bridge,Louisiana ,SAINT MARTIN,22,099,LA 
70518,Broussard,Louisiana ,LAFAYETTE,22,055,LA 
70522,Centerville,Louisiana ,SAINT MARY,22,101,LA 
70521,Cecilia,Louisiana ,SAINT MARTIN,22,099,LA 
70519,Cade,Louisiana ,SAINT MARTIN,22,099,LA 
70520,Carencro,Louisiana ,LAFAYETTE,22,055,LA 
70524,Chataignier,Louisiana ,EVANGELINE,22,039,LA 
70523,Charenton,Louisiana ,SAINT MARY,22,101,LA 
70525,Church Point,Louisiana ,ACADIA,22,001,LA 
70527,Crowley,Louisiana ,ACADIA,22,001,LA 
70528,Delcambre,Louisiana ,VERMILION,22,113,LA 
70526,Crowley,Louisiana ,ACADIA,22,001,LA 
70531,Egan,Louisiana ,ACADIA,22,001,LA 
70533,Erath,Louisiana ,VERMILION,22,113,LA 
70529,Duson,Louisiana ,LAFAYETTE,22,055,LA 
70532,Elton,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70534,Estherwood,Louisiana ,ACADIA,22,001,LA 
70544,Jeanerette,Louisiana ,IBERIA,22,045,LA 
70541,Grand Coteau,Louisiana ,SAINT LANDRY,22,097,LA 
70538,Franklin,Louisiana ,SAINT MARY,22,101,LA 
70537,Evangeline,Louisiana ,ACADIA,22,001,LA 
70535,Eunice,Louisiana ,SAINT LANDRY,22,097,LA 
70540,Garden City,Louisiana ,SAINT MARY,22,101,LA 
70543,Iota,Louisiana ,ACADIA,22,001,LA 
70542,Gueydan,Louisiana ,VERMILION,22,113,LA 
70546,Jennings,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70554,Mamou,Louisiana ,EVANGELINE,22,039,LA 
70548,Kaplan,Louisiana ,VERMILION,22,113,LA 
70551,Leonville,Louisiana ,SAINT LANDRY,22,097,LA 
70549,Lake Arthur,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70552,Loreauville,Louisiana ,IBERIA,22,045,LA 
70555,Maurice,Louisiana ,VERMILION,22,113,LA 
70550,Lawtell,Louisiana ,SAINT LANDRY,22,097,LA 
70562,New Iberia,Louisiana ,IBERIA,22,045,LA 
70560,New Iberia,Louisiana ,IBERIA,22,045,LA 
70556,Mermentau,Louisiana ,ACADIA,22,001,LA 
70563,New Iberia,Louisiana ,IBERIA,22,045,LA 
70558,Milton,Louisiana ,LAFAYETTE,22,055,LA 
70559,Morse,Louisiana ,ACADIA,22,001,LA 
70569,Lydia,Louisiana ,IBERIA,22,045,LA 
70570,Opelousas,Louisiana ,SAINT LANDRY,22,097,LA 
70571,Opelousas,Louisiana ,SAINT LANDRY,22,097,LA 
70576,Pine Prairie,Louisiana ,EVANGELINE,22,039,LA 
70577,Port Barre,Louisiana ,SAINT LANDRY,22,097,LA 
70575,Perry,Louisiana ,VERMILION,22,113,LA 
70581,Roanoke,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70580,Reddell,Louisiana ,EVANGELINE,22,039,LA 
70578,Rayne,Louisiana ,ACADIA,22,001,LA 
70582,Saint Martinville,Louisiana ,SAINT MARTIN,22,099,LA 
70591,Welsh,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70584,Sunset,Louisiana ,SAINT LANDRY,22,097,LA 
70583,Scott,Louisiana ,LAFAYETTE,22,055,LA 
70589,Washington,Louisiana ,SAINT LANDRY,22,097,LA 
70586,Ville Platte,Louisiana ,EVANGELINE,22,039,LA 
70593,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70585,Turkey Creek,Louisiana ,EVANGELINE,22,039,LA 
70592,Youngsville,Louisiana ,LAFAYETTE,22,055,LA 
70596,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70601,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70598,Lafayette,Louisiana ,LAFAYETTE,22,055,LA 
70609,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70607,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70602,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70606,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70605,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70611,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70612,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70615,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70616,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70629,Lake Charles,Louisiana ,CALCASIEU,22,019,LA 
70630,Bell City,Louisiana ,CALCASIEU,22,019,LA 
70631,Cameron,Louisiana ,CAMERON,22,023,LA 
70632,Creole,Louisiana ,CAMERON,22,023,LA 
70634,Deridder,Louisiana ,BEAUREGARD,22,011,LA 
70633,Dequincy,Louisiana ,CALCASIEU,22,019,LA 
70640,Fenton,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70637,Dry Creek,Louisiana ,BEAUREGARD,22,011,LA 
70638,Elizabeth,Louisiana ,ALLEN,22,003,LA 
70639,Evans,Louisiana ,VERNON,22,115,LA 
70643,Grand Chenier,Louisiana ,CAMERON,22,023,LA 
70644,Grant,Louisiana ,ALLEN,22,003,LA 
70645,Hackberry,Louisiana ,CAMERON,22,023,LA 
70646,Hayes,Louisiana ,CALCASIEU,22,019,LA 
70647,Iowa,Louisiana ,CALCASIEU,22,019,LA 
70651,Leblanc,Louisiana ,ALLEN,22,003,LA 
70650,Lacassine,Louisiana ,JEFFERSON DAVIS,22,053,LA 
70648,Kinder,Louisiana ,ALLEN,22,003,LA 
70652,Longville,Louisiana ,BEAUREGARD,22,011,LA 
70653,Merryville,Louisiana ,BEAUREGARD,22,011,LA 
70654,Mittie,Louisiana ,ALLEN,22,003,LA 
70655,Oberlin,Louisiana ,ALLEN,22,003,LA 
70656,Pitkin,Louisiana ,VERNON,22,115,LA 
70657,Ragley,Louisiana ,BEAUREGARD,22,011,LA 
70659,Rosepine,Louisiana ,VERNON,22,115,LA 
70658,Reeves,Louisiana ,ALLEN,22,003,LA 
70660,Singer,Louisiana ,BEAUREGARD,22,011,LA 
70661,Starks,Louisiana ,CALCASIEU,22,019,LA 
70663,Sulphur,Louisiana ,CALCASIEU,22,019,LA 
70662,Sugartown,Louisiana ,BEAUREGARD,22,011,LA 
70664,Sulphur,Louisiana ,CALCASIEU,22,019,LA 
70665,Sulphur,Louisiana ,CALCASIEU,22,019,LA 
70669,Westlake,Louisiana ,CALCASIEU,22,019,LA 
70704,Baker,Louisiana ,EAST BATON ROUGE,22,033,LA 
70668,Vinton,Louisiana ,CALCASIEU,22,019,LA 
70706,Denham Springs,Louisiana ,LIVINGSTON,22,063,LA 
70707,Gonzales,Louisiana ,ASCENSION,22,005,LA 
70712,Angola,Louisiana ,WEST FELICIANA,22,125,LA 
70710,Addis,Louisiana ,WEST BATON ROUGE,22,121,LA 
70711,Albany,Louisiana ,LIVINGSTON,22,063,LA 
70715,Batchelor,Louisiana ,POINTE COUPEE,22,077,LA 
70718,Brittany,Louisiana ,ASCENSION,22,005,LA 
70714,Baker,Louisiana ,EAST BATON ROUGE,22,033,LA 
70721,Carville,Louisiana ,IBERVILLE,22,047,LA 
70723,Convent,Louisiana ,SAINT JAMES,22,093,LA 
70726,Denham Springs,Louisiana ,LIVINGSTON,22,063,LA 
70725,Darrow,Louisiana ,ASCENSION,22,005,LA 
70722,Clinton,Louisiana ,EAST FELICIANA,22,037,LA 
70727,Denham Springs,Louisiana ,LIVINGSTON,22,063,LA 
70728,Duplessis,Louisiana ,ASCENSION,22,005,LA 
70719,Brusly,Louisiana ,WEST BATON ROUGE,22,121,LA 
70729,Erwinville,Louisiana ,WEST BATON ROUGE,22,121,LA 
70730,Ethel,Louisiana ,EAST FELICIANA,22,037,LA 
70733,French Settlement,Louisiana ,LIVINGSTON,22,063,LA 
70732,Fordoche,Louisiana ,POINTE COUPEE,22,077,LA 
70734,Geismar,Louisiana ,ASCENSION,22,005,LA 
70737,Gonzales,Louisiana ,ASCENSION,22,005,LA 
70736,Glynn,Louisiana ,POINTE COUPEE,22,077,LA 
70738,Burnside,Louisiana ,ASCENSION,22,005,LA 
70739,Greenwell Springs,Louisiana ,EAST BATON ROUGE,22,033,LA 
70740,Grosse Tete,Louisiana ,IBERVILLE,22,047,LA 
70752,Lakeland,Louisiana ,POINTE COUPEE,22,077,LA 
70749,Jarreau,Louisiana ,POINTE COUPEE,22,077,LA 
70744,Holden,Louisiana ,LIVINGSTON,22,063,LA 
70753,Lettsworth,Louisiana ,POINTE COUPEE,22,077,LA 
70750,Krotz Springs,Louisiana ,SAINT LANDRY,22,097,LA 
70748,Jackson,Louisiana ,EAST FELICIANA,22,037,LA 
70743,Hester,Louisiana ,SAINT JAMES,22,093,LA 
70747,Innis,Louisiana ,POINTE COUPEE,22,077,LA 
70754,Livingston,Louisiana ,LIVINGSTON,22,063,LA 
70755,Livonia,Louisiana ,POINTE COUPEE,22,077,LA 
70761,Norwood,Louisiana ,EAST FELICIANA,22,037,LA 
70756,Lottie,Louisiana ,POINTE COUPEE,22,077,LA 
70757,Maringouin,Louisiana ,IBERVILLE,22,047,LA 
70760,New Roads,Louisiana ,POINTE COUPEE,22,077,LA 
70762,Oscar,Louisiana ,POINTE COUPEE,22,077,LA 
70759,Morganza,Louisiana ,POINTE COUPEE,22,077,LA 
70763,Paulina,Louisiana ,SAINT JAMES,22,093,LA 
70765,Plaquemine,Louisiana ,IBERVILLE,22,047,LA 
70767,Port Allen,Louisiana ,WEST BATON ROUGE,22,121,LA 
70773,Rougon,Louisiana ,POINTE COUPEE,22,077,LA 
70772,Rosedale,Louisiana ,IBERVILLE,22,047,LA 
70770,Pride,Louisiana ,EAST BATON ROUGE,22,033,LA 
70769,Prairieville,Louisiana ,ASCENSION,22,005,LA 
70774,Saint Amant,Louisiana ,ASCENSION,22,005,LA 
70764,Plaquemine,Louisiana ,IBERVILLE,22,047,LA 
70775,Saint Francisville,Louisiana ,WEST FELICIANA,22,125,LA 
70778,Sorrento,Louisiana ,ASCENSION,22,005,LA 
70780,Sunshine,Louisiana ,IBERVILLE,22,047,LA 
70783,Ventress,Louisiana ,POINTE COUPEE,22,077,LA 
70777,Slaughter,Louisiana ,EAST FELICIANA,22,037,LA 
70782,Tunica,Louisiana ,WEST FELICIANA,22,125,LA 
70784,Wakefield,Louisiana ,WEST FELICIANA,22,125,LA 
70776,Saint Gabriel,Louisiana ,IBERVILLE,22,047,LA 
70786,Watson,Louisiana ,LIVINGSTON,22,063,LA 
70789,Wilson,Louisiana ,EAST FELICIANA,22,037,LA 
70785,Walker,Louisiana ,LIVINGSTON,22,063,LA 
70788,White Castle,Louisiana ,IBERVILLE,22,047,LA 
70787,Weyanoke,Louisiana ,WEST FELICIANA,22,125,LA 
70801,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70792,Uncle Sam,Louisiana ,SAINT JAMES,22,093,LA 
70791,Zachary,Louisiana ,EAST BATON ROUGE,22,033,LA 
70802,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70803,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70807,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70808,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70809,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70804,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70805,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70806,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70810,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70811,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70812,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70816,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70817,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70815,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70813,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70814,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70818,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70819,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70820,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70825,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70821,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70822,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70823,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70826,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70831,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70827,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70833,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70835,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70836,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70837,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
