32009,Bryceville,Florida ,NASSAU,12,089,FL 
32142,Palm Coast,Florida ,FLAGLER,12,035,FL 
32137,Palm Coast,Florida ,FLAGLER,12,035,FL 
32140,Florahome,Florida ,PUTNAM,12,107,FL 
32145,Hastings,Florida ,SAINT JOHNS,12,109,FL 
32143,Palm Coast,Florida ,FLAGLER,12,035,FL 
32147,Hollister,Florida ,PUTNAM,12,107,FL 
32148,Interlachen,Florida ,PUTNAM,12,107,FL 
32157,Lake Como,Florida ,PUTNAM,12,107,FL 
32158,Lady Lake,Florida ,LAKE,12,069,FL 
32149,Interlachen,Florida ,PUTNAM,12,107,FL 
32159,Lady Lake,Florida ,LAKE,12,069,FL 
32160,Lake Geneva,Florida ,CLAY,12,019,FL 
32162,The Villages,Florida ,SUMTER,12,119,FL 
32164,Palm Coast,Florida ,FLAGLER,12,035,FL 
32173,Ormond Beach,Florida ,VOLUSIA,12,127,FL 
32168,New Smyrna Beach,Florida ,VOLUSIA,12,127,FL 
32163,The Villages,Florida ,SUMTER,12,119,FL 
32169,New Smyrna Beach,Florida ,VOLUSIA,12,127,FL 
32170,New Smyrna Beach,Florida ,VOLUSIA,12,127,FL 
32175,Ormond Beach,Florida ,VOLUSIA,12,127,FL 
32174,Ormond Beach,Florida ,VOLUSIA,12,127,FL 
32176,Ormond Beach,Florida ,VOLUSIA,12,127,FL 
32177,Palatka,Florida ,PUTNAM,12,107,FL 
32179,Ocklawaha,Florida ,MARION,12,083,FL 
32180,Pierson,Florida ,VOLUSIA,12,127,FL 
32181,Pomona Park,Florida ,PUTNAM,12,107,FL 
32183,Ocklawaha,Florida ,MARION,12,083,FL 
32178,Palatka,Florida ,PUTNAM,12,107,FL 
32182,Orange Springs,Florida ,MARION,12,083,FL 
32187,San Mateo,Florida ,PUTNAM,12,107,FL 
32185,Putnam Hall,Florida ,PUTNAM,12,107,FL 
32189,Satsuma,Florida ,PUTNAM,12,107,FL 
32190,Seville,Florida ,VOLUSIA,12,127,FL 
32198,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32192,Sparr,Florida ,MARION,12,083,FL 
32195,Weirsdale,Florida ,MARION,12,083,FL 
32193,Welaka,Florida ,PUTNAM,12,107,FL 
32201,Jacksonville,Florida ,DUVAL,12,031,FL 
32202,Jacksonville,Florida ,DUVAL,12,031,FL 
32203,Jacksonville,Florida ,DUVAL,12,031,FL 
32204,Jacksonville,Florida ,DUVAL,12,031,FL 
32208,Jacksonville,Florida ,DUVAL,12,031,FL 
32205,Jacksonville,Florida ,DUVAL,12,031,FL 
32207,Jacksonville,Florida ,DUVAL,12,031,FL 
32206,Jacksonville,Florida ,DUVAL,12,031,FL 
32209,Jacksonville,Florida ,DUVAL,12,031,FL 
32212,Jacksonville,Florida ,DUVAL,12,031,FL 
32211,Jacksonville,Florida ,DUVAL,12,031,FL 
32210,Jacksonville,Florida ,DUVAL,12,031,FL 
32217,Jacksonville,Florida ,DUVAL,12,031,FL 
32216,Jacksonville,Florida ,DUVAL,12,031,FL 
32218,Jacksonville,Florida ,DUVAL,12,031,FL 
32219,Jacksonville,Florida ,DUVAL,12,031,FL 
32214,Jacksonville,Florida ,DUVAL,12,031,FL 
32221,Jacksonville,Florida ,DUVAL,12,031,FL 
32220,Jacksonville,Florida ,DUVAL,12,031,FL 
32222,Jacksonville,Florida ,DUVAL,12,031,FL 
32224,Jacksonville,Florida ,DUVAL,12,031,FL 
32223,Jacksonville,Florida ,DUVAL,12,031,FL 
32229,Jacksonville,Florida ,DUVAL,12,031,FL 
32226,Jacksonville,Florida ,DUVAL,12,031,FL 
32228,Jacksonville,Florida ,DUVAL,12,031,FL 
32231,Jacksonville,Florida ,DUVAL,12,031,FL 
32225,Jacksonville,Florida ,DUVAL,12,031,FL 
32227,Jacksonville,Florida ,DUVAL,12,031,FL 
32232,Jacksonville,Florida ,DUVAL,12,031,FL 
32233,Atlantic Beach,Florida ,DUVAL,12,031,FL 
32236,Jacksonville,Florida ,DUVAL,12,031,FL 
32235,Jacksonville,Florida ,DUVAL,12,031,FL 
32240,Jacksonville Beach,Florida ,DUVAL,12,031,FL 
32234,Jacksonville,Florida ,DUVAL,12,031,FL 
32241,Jacksonville,Florida ,DUVAL,12,031,FL 
32238,Jacksonville,Florida ,DUVAL,12,031,FL 
32239,Jacksonville,Florida ,DUVAL,12,031,FL 
32244,Jacksonville,Florida ,DUVAL,12,031,FL 
32246,Jacksonville,Florida ,DUVAL,12,031,FL 
32247,Jacksonville,Florida ,DUVAL,12,031,FL 
32254,Jacksonville,Florida ,DUVAL,12,031,FL 
32245,Jacksonville,Florida ,DUVAL,12,031,FL 
32255,Jacksonville,Florida ,DUVAL,12,031,FL 
32256,Jacksonville,Florida ,DUVAL,12,031,FL 
32250,Jacksonville Beach,Florida ,DUVAL,12,031,FL 
32257,Jacksonville,Florida ,DUVAL,12,031,FL 
32259,Saint Johns,Florida ,SAINT JOHNS,12,109,FL 
32258,Jacksonville,Florida ,DUVAL,12,031,FL 
32277,Jacksonville,Florida ,DUVAL,12,031,FL 
32302,Tallahassee,Florida ,LEON,12,073,FL 
32260,Jacksonville,Florida ,SAINT JOHNS,12,109,FL 
32301,Tallahassee,Florida ,LEON,12,073,FL 
32266,Neptune Beach,Florida ,DUVAL,12,031,FL 
32303,Tallahassee,Florida ,LEON,12,073,FL 
32304,Tallahassee,Florida ,LEON,12,073,FL 
32305,Tallahassee,Florida ,LEON,12,073,FL 
32308,Tallahassee,Florida ,LEON,12,073,FL 
32309,Tallahassee,Florida ,LEON,12,073,FL 
32306,Tallahassee,Florida ,LEON,12,073,FL 
32307,Tallahassee,Florida ,LEON,12,073,FL 
32310,Tallahassee,Florida ,LEON,12,073,FL 
32311,Tallahassee,Florida ,LEON,12,073,FL 
32312,Tallahassee,Florida ,LEON,12,073,FL 
32313,Tallahassee,Florida ,LEON,12,073,FL 
32315,Tallahassee,Florida ,LEON,12,073,FL 
32317,Tallahassee,Florida ,LEON,12,073,FL 
32314,Tallahassee,Florida ,LEON,12,073,FL 
32316,Tallahassee,Florida ,LEON,12,073,FL 
32321,Bristol,Florida ,LIBERTY,12,077,FL 
32320,Apalachicola,Florida ,FRANKLIN,12,037,FL 
32322,Carrabelle,Florida ,FRANKLIN,12,037,FL 
32318,Tallahassee,Florida ,LEON,12,073,FL 
32323,Lanark Village,Florida ,FRANKLIN,12,037,FL 
32330,Greensboro,Florida ,GADSDEN,12,039,FL 
32326,Crawfordville,Florida ,WAKULLA,12,129,FL 
32329,Apalachicola,Florida ,FRANKLIN,12,037,FL 
32328,Eastpoint,Florida ,FRANKLIN,12,037,FL 
32327,Crawfordville,Florida ,WAKULLA,12,129,FL 
32324,Chattahoochee,Florida ,GADSDEN,12,039,FL 
32331,Greenville,Florida ,MADISON,12,079,FL 
32335,Sumatra,Florida ,LIBERTY,12,077,FL 
32333,Havana,Florida ,GADSDEN,12,039,FL 
32341,Madison,Florida ,MADISON,12,079,FL 
32336,Lamont,Florida ,JEFFERSON,12,065,FL 
32340,Madison,Florida ,MADISON,12,079,FL 
32337,Lloyd,Florida ,JEFFERSON,12,065,FL 
32334,Hosford,Florida ,LIBERTY,12,077,FL 
32332,Gretna,Florida ,GADSDEN,12,039,FL 
32343,Midway,Florida ,GADSDEN,12,039,FL 
32344,Monticello,Florida ,JEFFERSON,12,065,FL 
32350,Pinetta,Florida ,MADISON,12,079,FL 
32345,Monticello,Florida ,JEFFERSON,12,065,FL 
32348,Perry,Florida ,TAYLOR,12,123,FL 
32351,Quincy,Florida ,GADSDEN,12,039,FL 
32347,Perry,Florida ,TAYLOR,12,123,FL 
32346,Panacea,Florida ,WAKULLA,12,129,FL 
32352,Quincy,Florida ,GADSDEN,12,039,FL 
32353,Quincy,Florida ,GADSDEN,12,039,FL 
32356,Salem,Florida ,TAYLOR,12,123,FL 
32355,Saint Marks,Florida ,WAKULLA,12,129,FL 
32357,Shady Grove,Florida ,TAYLOR,12,123,FL 
32359,Steinhatchee,Florida ,TAYLOR,12,123,FL 
32360,Telogia,Florida ,LIBERTY,12,077,FL 
32358,Sopchoppy,Florida ,WAKULLA,12,129,FL 
32361,Wacissa,Florida ,JEFFERSON,12,065,FL 
32405,Panama City,Florida ,BAY,12,005,FL 
32403,Panama City,Florida ,BAY,12,005,FL 
32402,Panama City,Florida ,BAY,12,005,FL 
32362,Woodville,Florida ,LEON,12,073,FL 
32401,Panama City,Florida ,BAY,12,005,FL 
32404,Panama City,Florida ,BAY,12,005,FL 
32399,Tallahassee,Florida ,LEON,12,073,FL 
32406,Panama City,Florida ,BAY,12,005,FL 
32411,Panama City,Florida ,BAY,12,005,FL 
32412,Panama City,Florida ,BAY,12,005,FL 
32413,Panama City Beach,Florida ,BAY,12,005,FL 
32410,Mexico Beach,Florida ,BAY,12,005,FL 
32409,Panama City,Florida ,BAY,12,005,FL 
32408,Panama City,Florida ,BAY,12,005,FL 
32407,Panama City Beach,Florida ,BAY,12,005,FL 
32421,Altha,Florida ,CALHOUN,12,013,FL 
32417,Panama City,Florida ,BAY,12,005,FL 
32420,Alford,Florida ,JACKSON,12,063,FL 
32422,Argyle,Florida ,WALTON,12,131,FL 
32424,Blountstown,Florida ,CALHOUN,12,013,FL 
32423,Bascom,Florida ,JACKSON,12,063,FL 
32425,Bonifay,Florida ,HOLMES,12,059,FL 
32426,Campbellton,Florida ,JACKSON,12,063,FL 
32427,Caryville,Florida ,WASHINGTON,12,133,FL 
32430,Clarksville,Florida ,CALHOUN,12,013,FL 
32428,Chipley,Florida ,WASHINGTON,12,133,FL 
32431,Cottondale,Florida ,JACKSON,12,063,FL 
32434,Mossy Head,Florida ,WALTON,12,131,FL 
32433,Defuniak Springs,Florida ,WALTON,12,131,FL 
32435,Defuniak Springs,Florida ,WALTON,12,131,FL 
32432,Cypress,Florida ,JACKSON,12,063,FL 
32437,Ebro,Florida ,WASHINGTON,12,133,FL 
32440,Graceville,Florida ,JACKSON,12,063,FL 
32439,Freeport,Florida ,WALTON,12,131,FL 
32438,Fountain,Florida ,BAY,12,005,FL 
32445,Malone,Florida ,JACKSON,12,063,FL 
32442,Grand Ridge,Florida ,JACKSON,12,063,FL 
32443,Greenwood,Florida ,JACKSON,12,063,FL 
32444,Lynn Haven,Florida ,BAY,12,005,FL 
32446,Marianna,Florida ,JACKSON,12,063,FL 
32447,Marianna,Florida ,JACKSON,12,063,FL 
32448,Marianna,Florida ,JACKSON,12,063,FL 
32457,Port Saint Joe,Florida ,GULF,12,045,FL 
32449,Wewahitchka,Florida ,CALHOUN,12,013,FL 
32459,Santa Rosa Beach,Florida ,WALTON,12,131,FL 
32452,Noma,Florida ,HOLMES,12,059,FL 
32455,Ponce De Leon,Florida ,HOLMES,12,059,FL 
32456,Port Saint Joe,Florida ,GULF,12,045,FL 
32460,Sneads,Florida ,JACKSON,12,063,FL 
32461,Inlet Beach,Florida ,WALTON,12,131,FL 
32465,Wewahitchka,Florida ,GULF,12,045,FL 
32463,Wausau,Florida ,WASHINGTON,12,133,FL 
32462,Vernon,Florida ,WASHINGTON,12,133,FL 
32501,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32464,Westville,Florida ,HOLMES,12,059,FL 
32466,Youngstown,Florida ,BAY,12,005,FL 
32502,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32505,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32503,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32506,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32504,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32509,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32507,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32508,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32511,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32513,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32522,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32512,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32514,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32521,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32523,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32516,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32520,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32524,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32536,Crestview,Florida ,OKALOOSA,12,091,FL 
32526,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32535,Century,Florida ,ESCAMBIA,12,033,FL 
32533,Cantonment,Florida ,ESCAMBIA,12,033,FL 
32534,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32531,Baker,Florida ,OKALOOSA,12,091,FL 
32537,Milligan,Florida ,OKALOOSA,12,091,FL 
32530,Bagdad,Florida ,SANTA ROSA,12,113,FL 
32538,Paxton,Florida ,WALTON,12,131,FL 
32539,Crestview,Florida ,OKALOOSA,12,091,FL 
32540,Destin,Florida ,OKALOOSA,12,091,FL 
32541,Destin,Florida ,OKALOOSA,12,091,FL 
32548,Fort Walton Beach,Florida ,OKALOOSA,12,091,FL 
32547,Fort Walton Beach,Florida ,OKALOOSA,12,091,FL 
32544,Hurlburt Field,Florida ,OKALOOSA,12,091,FL 
32542,Eglin AFB,Florida ,OKALOOSA,12,091,FL 
32549,Fort Walton Beach,Florida ,OKALOOSA,12,091,FL 
32550,Miramar Beach,Florida ,WALTON,12,131,FL 
32560,Gonzalez,Florida ,ESCAMBIA,12,033,FL 
32559,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32563,Gulf Breeze,Florida ,SANTA ROSA,12,113,FL 
32562,Gulf Breeze,Florida ,SANTA ROSA,12,113,FL 
32561,Gulf Breeze,Florida ,SANTA ROSA,12,113,FL 
32564,Holt,Florida ,OKALOOSA,12,091,FL 
32565,Jay,Florida ,SANTA ROSA,12,113,FL 
32567,Laurel Hill,Florida ,OKALOOSA,12,091,FL 
32569,Mary Esther,Florida ,OKALOOSA,12,091,FL 
32571,Milton,Florida ,SANTA ROSA,12,113,FL 
32568,Mc David,Florida ,ESCAMBIA,12,033,FL 
32572,Milton,Florida ,SANTA ROSA,12,113,FL 
32570,Milton,Florida ,SANTA ROSA,12,113,FL 
32577,Molino,Florida ,ESCAMBIA,12,033,FL 
32566,Navarre,Florida ,SANTA ROSA,12,113,FL 
32591,Pensacola,Florida ,ESCAMBIA,12,033,FL 
32588,Niceville,Florida ,OKALOOSA,12,091,FL 
32580,Valparaiso,Florida ,OKALOOSA,12,091,FL 
32583,Milton,Florida ,SANTA ROSA,12,113,FL 
32601,Gainesville,Florida ,ALACHUA,12,001,FL 
32579,Shalimar,Florida ,OKALOOSA,12,091,FL 
32578,Niceville,Florida ,OKALOOSA,12,091,FL 
32602,Gainesville,Florida ,ALACHUA,12,001,FL 
32603,Gainesville,Florida ,ALACHUA,12,001,FL 
32606,Gainesville,Florida ,ALACHUA,12,001,FL 
32608,Gainesville,Florida ,ALACHUA,12,001,FL 
32604,Gainesville,Florida ,ALACHUA,12,001,FL 
32605,Gainesville,Florida ,ALACHUA,12,001,FL 
32609,Gainesville,Florida ,ALACHUA,12,001,FL 
32607,Gainesville,Florida ,ALACHUA,12,001,FL 
32610,Gainesville,Florida ,ALACHUA,12,001,FL 
32611,Gainesville,Florida ,ALACHUA,12,001,FL 
32612,Gainesville,Florida ,ALACHUA,12,001,FL 
32619,Bell,Florida ,GILCHRIST,12,041,FL 
32614,Gainesville,Florida ,ALACHUA,12,001,FL 
32615,Alachua,Florida ,ALACHUA,12,001,FL 
32616,Alachua,Florida ,ALACHUA,12,001,FL 
32617,Anthony,Florida ,MARION,12,083,FL 
32618,Archer,Florida ,ALACHUA,12,001,FL 
32621,Bronson,Florida ,LEVY,12,075,FL 
32622,Brooker,Florida ,BRADFORD,12,007,FL 
32627,Gainesville,Florida ,ALACHUA,12,001,FL 
32628,Cross City,Florida ,DIXIE,12,029,FL 
32626,Chiefland,Florida ,LEVY,12,075,FL 
32625,Cedar Key,Florida ,LEVY,12,075,FL 
32633,Evinston,Florida ,ALACHUA,12,001,FL 
32631,Earleton,Florida ,ALACHUA,12,001,FL 
32634,Fairfield,Florida ,MARION,12,083,FL 
32635,Gainesville,Florida ,ALACHUA,12,001,FL 
32639,Gulf Hammock,Florida ,LEVY,12,075,FL 
32648,Horseshoe Beach,Florida ,DIXIE,12,029,FL 
32644,Chiefland,Florida ,LEVY,12,075,FL 
32643,High Springs,Florida ,ALACHUA,12,001,FL 
32641,Gainesville,Florida ,ALACHUA,12,001,FL 
32640,Hawthorne,Florida ,ALACHUA,12,001,FL 
32653,Gainesville,Florida ,ALACHUA,12,001,FL 
32654,Island Grove,Florida ,ALACHUA,12,001,FL 
32655,High Springs,Florida ,ALACHUA,12,001,FL 
32656,Keystone Heights,Florida ,CLAY,12,019,FL 
32663,Lowell,Florida ,MARION,12,083,FL 
32658,La Crosse,Florida ,ALACHUA,12,001,FL 
32662,Lochloosa,Florida ,ALACHUA,12,001,FL 
32664,Mc Intosh,Florida ,MARION,12,083,FL 
32666,Melrose,Florida ,PUTNAM,12,107,FL 
32668,Morriston,Florida ,LEVY,12,075,FL 
32667,Micanopy,Florida ,ALACHUA,12,001,FL 
32669,Newberry,Florida ,ALACHUA,12,001,FL 
32680,Old Town,Florida ,DIXIE,12,029,FL 
32681,Orange Lake,Florida ,MARION,12,083,FL 
32683,Otter Creek,Florida ,LEVY,12,075,FL 
32693,Trenton,Florida ,GILCHRIST,12,041,FL 
32692,Suwannee,Florida ,DIXIE,12,029,FL 
32694,Waldo,Florida ,ALACHUA,12,001,FL 
32686,Reddick,Florida ,MARION,12,083,FL 
32696,Williston,Florida ,LEVY,12,075,FL 
32697,Worthington Springs,Florida ,UNION,12,125,FL 
32701,Altamonte Springs,Florida ,SEMINOLE,12,117,FL 
32702,Altoona,Florida ,LAKE,12,069,FL 
32703,Apopka,Florida ,ORANGE,12,095,FL 
32706,Cassadaga,Florida ,VOLUSIA,12,127,FL 
32704,Apopka,Florida ,ORANGE,12,095,FL 
32707,Casselberry,Florida ,SEMINOLE,12,117,FL 
32708,Winter Springs,Florida ,SEMINOLE,12,117,FL 
32710,Clarcona,Florida ,ORANGE,12,095,FL 
32709,Christmas,Florida ,ORANGE,12,095,FL 
32712,Apopka,Florida ,ORANGE,12,095,FL 
32715,Altamonte Springs,Florida ,SEMINOLE,12,117,FL 
32714,Altamonte Springs,Florida ,SEMINOLE,12,117,FL 
32716,Altamonte Springs,Florida ,SEMINOLE,12,117,FL 
32718,Casselberry,Florida ,SEMINOLE,12,117,FL 
32713,Debary,Florida ,VOLUSIA,12,127,FL 
32719,Winter Springs,Florida ,SEMINOLE,12,117,FL 
32720,Deland,Florida ,VOLUSIA,12,127,FL 
32721,Deland,Florida ,VOLUSIA,12,127,FL 
32723,Deland,Florida ,VOLUSIA,12,127,FL 
32726,Eustis,Florida ,LAKE,12,069,FL 
32725,Deltona,Florida ,VOLUSIA,12,127,FL 
32724,Deland,Florida ,VOLUSIA,12,127,FL 
32727,Eustis,Florida ,LAKE,12,069,FL 
32730,Casselberry,Florida ,SEMINOLE,12,117,FL 
32728,Deltona,Florida ,VOLUSIA,12,127,FL 
32722,Glenwood,Florida ,VOLUSIA,12,127,FL 
32732,Geneva,Florida ,SEMINOLE,12,117,FL 
32735,Grand Island,Florida ,LAKE,12,069,FL 
32733,Goldenrod,Florida ,SEMINOLE,12,117,FL 
32738,Deltona,Florida ,VOLUSIA,12,127,FL 
32736,Eustis,Florida ,LAKE,12,069,FL 
32739,Deltona,Florida ,VOLUSIA,12,127,FL 
32744,Lake Helen,Florida ,VOLUSIA,12,127,FL 
32745,Mid Florida,Florida ,SEMINOLE,12,117,FL 
32746,Lake Mary,Florida ,SEMINOLE,12,117,FL 
32753,Debary,Florida ,VOLUSIA,12,127,FL 
32752,Longwood,Florida ,SEMINOLE,12,117,FL 
32751,Maitland,Florida ,ORANGE,12,095,FL 
32750,Longwood,Florida ,SEMINOLE,12,117,FL 
32754,Mims,Florida ,BREVARD,12,009,FL 
32756,Mount Dora,Florida ,LAKE,12,069,FL 
32747,Lake Monroe,Florida ,SEMINOLE,12,117,FL 
32757,Mount Dora,Florida ,LAKE,12,069,FL 
32759,Oak Hill,Florida ,VOLUSIA,12,127,FL 
32764,Osteen,Florida ,VOLUSIA,12,127,FL 
32762,Oviedo,Florida ,SEMINOLE,12,117,FL 
32765,Oviedo,Florida ,SEMINOLE,12,117,FL 
32763,Orange City,Florida ,VOLUSIA,12,127,FL 
32766,Oviedo,Florida ,SEMINOLE,12,117,FL 
32767,Paisley,Florida ,LAKE,12,069,FL 
32768,Plymouth,Florida ,ORANGE,12,095,FL 
32771,Sanford,Florida ,SEMINOLE,12,117,FL 
32772,Sanford,Florida ,SEMINOLE,12,117,FL 
32776,Sorrento,Florida ,LAKE,12,069,FL 
32777,Tangerine,Florida ,ORANGE,12,095,FL 
32778,Tavares,Florida ,LAKE,12,069,FL 
32774,Orange City,Florida ,VOLUSIA,12,127,FL 
32773,Sanford,Florida ,SEMINOLE,12,117,FL 
32775,Scottsmoor,Florida ,BREVARD,12,009,FL 
32779,Longwood,Florida ,SEMINOLE,12,117,FL 
32783,Titusville,Florida ,BREVARD,12,009,FL 
32781,Titusville,Florida ,BREVARD,12,009,FL 
32791,Longwood,Florida ,SEMINOLE,12,117,FL 
32780,Titusville,Florida ,BREVARD,12,009,FL 
32784,Umatilla,Florida ,LAKE,12,069,FL 
32790,Winter Park,Florida ,ORANGE,12,095,FL 
32789,Winter Park,Florida ,ORANGE,12,095,FL 
32792,Winter Park,Florida ,ORANGE,12,095,FL 
32794,Maitland,Florida ,ORANGE,12,095,FL 
32796,Titusville,Florida ,BREVARD,12,009,FL 
32793,Winter Park,Florida ,ORANGE,12,095,FL 
32795,Lake Mary,Florida ,SEMINOLE,12,117,FL 
32802,Orlando,Florida ,ORANGE,12,095,FL 
32799,Mid Florida,Florida ,SEMINOLE,12,117,FL 
32798,Zellwood,Florida ,ORANGE,12,095,FL 
32801,Orlando,Florida ,ORANGE,12,095,FL 
32803,Orlando,Florida ,ORANGE,12,095,FL 
32804,Orlando,Florida ,ORANGE,12,095,FL 
32805,Orlando,Florida ,ORANGE,12,095,FL 
32809,Orlando,Florida ,ORANGE,12,095,FL 
32807,Orlando,Florida ,ORANGE,12,095,FL 
32806,Orlando,Florida ,ORANGE,12,095,FL 
32808,Orlando,Florida ,ORANGE,12,095,FL 
32810,Orlando,Florida ,ORANGE,12,095,FL 
32811,Orlando,Florida ,ORANGE,12,095,FL 
