02801,Adamsville,Rhode Island ,NEWPORT,44,005,RI 
02902,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02901,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02904,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02905,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02906,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02907,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02908,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02910,Cranston,Rhode Island ,PROVIDENCE,44,007,RI 
02911,North Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02909,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02912,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02914,East Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02915,Riverside,Rhode Island ,PROVIDENCE,44,007,RI 
02916,Rumford,Rhode Island ,PROVIDENCE,44,007,RI 
02917,Smithfield,Rhode Island ,PROVIDENCE,44,007,RI 
02940,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02920,Cranston,Rhode Island ,PROVIDENCE,44,007,RI 
02919,Johnston,Rhode Island ,PROVIDENCE,44,007,RI 
02918,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02921,Cranston,Rhode Island ,PROVIDENCE,44,007,RI 
